policy,budget,context_length,count,score_mean,ci_low,ci_high,oom_rate,error_rate,peak_vram_gib,cache_gib,compression,prefill_s,compress_s,decode_tps
h2o,1024,2048,24,0.2812,0.1424,0.4340,0.0000,0.0000,2.937,0.1406,0.4844,1.917,0.007,12.87
h2o,1024,4096,24,0.0938,0.0104,0.1979,0.0000,0.0000,3.109,0.1406,0.7467,4.867,0.015,12.86
h2o,1024,8192,24,0.0556,0.0000,0.1181,0.0000,0.0000,3.120,0.1406,0.8741,10.713,0.030,12.82
h2o,256,2048,24,0.1042,0.0347,0.1944,0.0000,0.0000,2.937,0.0352,0.8711,2.036,0.014,12.53
h2o,256,4096,24,0.0208,0.0000,0.0625,0.0000,0.0000,2.991,0.0352,0.9367,4.344,0.015,12.86
h2o,256,8192,24,0.0694,0.0000,0.1562,0.0000,0.0000,3.002,0.0352,0.9685,9.139,0.030,12.66
