policy,budget,count,score_mean,ci_low,ci_high,oom_rate,error_rate,peak_vram_gib,cache_gib,compression,prefill_s,compress_s,decode_tps
full,-1,15,0.6000,0.3333,0.8667,0.4000,0.0000,3.343,0.6493,0.0000,3.244,0.000,8.93
pyramidkv,1024,15,0.3333,0.1333,0.6000,0.0000,0.0000,3.066,0.1406,0.8030,8.002,0.121,6.07
pyramidkv,256,15,0.7333,0.5333,0.9333,0.0000,0.0000,2.978,0.0352,0.9507,7.343,0.126,6.09
snapkv,1024,15,1.0000,1.0000,1.0000,0.0000,0.0000,3.060,0.1406,0.8030,7.855,0.123,6.15
snapkv,256,15,1.0000,1.0000,1.0000,0.0000,0.0000,2.989,0.0352,0.9507,7.286,0.129,5.97
streaming_llm,1024,15,1.0000,1.0000,1.0000,0.0000,0.0000,3.056,0.1406,0.8030,7.823,0.036,10.22
streaming_llm,256,15,1.0000,1.0000,1.0000,0.0000,0.0000,2.987,0.0352,0.9507,7.552,0.020,11.33
tova,1024,15,1.0000,1.0000,1.0000,0.0000,0.0000,3.060,0.1406,0.8030,7.931,0.099,6.12
tova,256,15,0.6667,0.4000,0.8667,0.0000,0.0000,2.989,0.0352,0.9507,7.532,0.098,6.36
