policy,budget,context_length,depth,count,score_mean,ci_low,ci_high,oom_rate,error_rate,peak_vram_gib,cache_gib,compression,prefill_s,compress_s,decode_tps
streaming_llm,1024,32768,0.1,3,0.0000,0.0000,0.0000,0.0000,0.0000,3.089,0.1406,0.9687,21.189,0.050,11.13
streaming_llm,1024,32768,0.25,3,0.0000,0.0000,0.0000,0.0000,0.0000,3.089,0.1406,0.9687,20.414,0.112,5.73
streaming_llm,1024,32768,0.5,3,0.0000,0.0000,0.0000,0.0000,0.0000,3.089,0.1406,0.9687,19.988,0.125,5.74
streaming_llm,1024,32768,0.75,3,0.0000,0.0000,0.0000,0.0000,0.0000,3.089,0.1406,0.9687,19.994,0.122,5.88
streaming_llm,1024,32768,0.9,3,0.0000,0.0000,0.0000,0.0000,0.0000,3.089,0.1406,0.9687,19.988,0.142,5.80
streaming_llm,1024,32768,1.0,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.089,0.1406,0.9687,20.031,0.129,5.53
streaming_llm,1024,4096,0.0,3,0.0000,0.0000,0.0000,0.0000,0.0000,3.079,0.1406,0.7466,2.410,0.006,11.50
streaming_llm,1024,4096,0.1,3,0.0000,0.0000,0.0000,0.0000,0.0000,3.079,0.1406,0.7466,2.423,0.007,11.52
streaming_llm,1024,4096,0.25,3,0.0000,0.0000,0.0000,0.0000,0.0000,3.079,0.1406,0.7466,2.425,0.006,11.50
streaming_llm,1024,4096,0.5,3,0.0000,0.0000,0.0000,0.0000,0.0000,3.079,0.1406,0.7466,2.389,0.007,11.49
streaming_llm,1024,4096,0.75,3,0.0000,0.0000,0.0000,0.0000,0.0000,3.079,0.1406,0.7466,2.423,0.006,11.52
