policy,budget,task,count,score_mean,ci_low,ci_high,oom_rate,error_rate,peak_vram_gib,cache_gib,compression,prefill_s,compress_s,decode_tps
full,-1,niah,105,0.6095,0.5143,0.7048,0.3905,0.0095,3.371,0.6742,0.0000,3.573,0.000,7.64
pyramidkv,1024,niah,105,0.9048,0.8476,0.9619,0.0000,0.0000,3.066,0.1406,0.8030,7.936,0.151,6.39
pyramidkv,256,niah,105,0.8857,0.8190,0.9429,0.0000,0.0000,2.978,0.0352,0.9507,7.425,0.128,6.03
snapkv,1024,niah,105,1.0000,1.0000,1.0000,0.0000,0.0000,3.060,0.1406,0.8030,7.866,0.125,6.07
snapkv,256,niah,105,0.9905,0.9714,1.0000,0.0000,0.0000,2.989,0.0352,0.9507,7.262,0.134,5.83
streaming_llm,1024,niah,105,0.2667,0.1810,0.3524,0.0000,0.0000,3.056,0.1406,0.8030,7.884,0.031,10.53
streaming_llm,256,niah,105,0.1714,0.1048,0.2476,0.0000,0.0000,2.987,0.0352,0.9507,7.578,0.021,11.26
tova,1024,niah,105,0.9429,0.8952,0.9810,0.0000,0.0000,3.060,0.1406,0.8030,7.959,0.106,6.29
tova,256,niah,105,0.7143,0.6286,0.8000,0.0000,0.0000,2.989,0.0352,0.9507,7.701,0.105,6.27
